#SASDB SASDER2
#Sample description: Merged from concentrations 1.00 and 5.00 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.JF2596 C:/Users/vives/AppDa
 5.669200e-001  4.778559e+002  1.708446e+001
 5.695510e-001  4.624287e+002  1.669710e+001
 5.721820e-001  4.252639e+002  1.650620e+001
 5.748130e-001  4.672909e+002  1.670797e+001
 5.774440e-001  4.737469e+002  1.687824e+001
 5.800760e-001  4.400420e+002  1.613432e+001
 5.827070e-001  4.520938e+002  1.644554e+001
 5.853380e-001  4.573768e+002  1.659117e+001
 5.879690e-001  4.559890e+002  1.640656e+001
 5.906000e-001  4.642026e+002  1.656727e+001
 5.932310e-001  4.049035e+002  1.609527e+001
 5.958620e-001  4.367986e+002  1.613932e+001
 5.984930e-001  4.292785e+002  1.613338e+001
 6.011240e-001  4.316441e+002  1.612855e+001
 6.037550e-001  4.098780e+002  1.589182e+001
 6.063870e-001  4.566971e+002  1.622137e+001
 6.090180e-001  4.155978e+002  1.592578e+001
 6.116490e-001  4.252848e+002  1.599666e+001
 6.142800e-001  4.067970e+002  1.556748e+001
 6.169110e-001  4.234340e+002  1.572642e+001
 6.195420e-001  4.207625e+002  1.589103e+001
 6.221730e-001  4.035410e+002  6.514860e+000
 6.248040e-001  3.853050e+002  6.457520e+000
 6.274350e-001  4.039980e+002  6.458140e+000
 6.300670e-001  3.914230e+002  6.413650e+000
 6.326980e-001  3.871690e+002  6.443580e+000
 6.353290e-001  3.961180e+002  6.312350e+000
 6.379600e-001  3.859020e+002  6.348050e+000
 6.405910e-001  3.693570e+002  6.180920e+000
 6.432220e-001  3.801880e+002  6.219740e+000
 6.458530e-001  3.689840e+002  6.237800e+000
 6.484840e-001  3.701790e+002  6.087740e+000
 6.511150e-001  3.764650e+002  6.208650e+000
 6.537470e-001  3.688600e+002  6.122380e+000
 6.563780e-001  3.759760e+002  6.139150e+000
 6.590090e-001  3.623030e+002  6.087970e+000
 6.616400e-001  3.571460e+002  5.978590e+000
 6.642710e-001  3.581690e+002  6.114370e+000
 6.669020e-001  3.618470e+002  6.008160e+000
 6.695330e-001  3.538760e+002  6.009210e+000
 6.721640e-001  3.628690e+002  6.008490e+000
 6.747950e-001  3.370540e+002  5.900350e+000
 6.774270e-001  3.583630e+002  6.010400e+000
 6.800580e-001  3.589980e+002  5.965240e+000
 6.826890e-001  3.495960e+002  5.933770e+000
 6.853200e-001  3.383380e+002  5.880860e+000
 6.879510e-001  3.381310e+002  5.897530e+000
 6.905820e-001  3.337040e+002  5.834730e+000
 6.932130e-001  3.396970e+002  5.814470e+000
 6.958440e-001  3.348280e+002  5.807040e+000
 6.984750e-001  3.283340e+002  5.766280e+000
 7.011060e-001  3.232540e+002  5.780750e+000
 7.037380e-001  3.264950e+002  5.776460e+000
 7.063690e-001  3.296250e+002  5.734310e+000
 7.090000e-001  3.215800e+002  5.729780e+000
 7.116310e-001  3.130490e+002  5.557460e+000
 7.142620e-001  3.236240e+002  5.665000e+000
 7.168930e-001  3.175500e+002  5.601830e+000
 7.195240e-001  3.144990e+002  5.629860e+000
 7.221550e-001  3.206080e+002  5.626910e+000
 7.247860e-001  3.099200e+002  5.566100e+000
 7.274180e-001  3.085060e+002  5.552910e+000
 7.300490e-001  3.077270e+002  5.528430e+000
 7.326800e-001  3.038210e+002  5.509730e+000
 7.353110e-001  3.045590e+002  5.478890e+000
 7.379420e-001  3.055090e+002  5.463390e+000
 7.405730e-001  2.949070e+002  5.425220e+000
 7.432040e-001  2.937000e+002  5.412840e+000
 7.458350e-001  2.968420e+002  5.414920e+000
 7.484660e-001  2.904590e+002  5.358580e+000
 7.510980e-001  2.973490e+002  5.376470e+000
 7.537290e-001  2.801540e+002  5.314370e+000
 7.563600e-001  2.906610e+002  5.302820e+000
 7.589910e-001  2.856240e+002  5.295440e+000
 7.616220e-001  2.805030e+002  5.275190e+000
 7.642530e-001  2.818930e+002  5.288220e+000
 7.668840e-001  2.791910e+002  5.245220e+000
 7.695150e-001  2.791990e+002  5.214290e+000
 7.721460e-001  2.661860e+002  5.199090e+000
 7.747770e-001  2.801350e+002  5.154300e+000
 7.774090e-001  2.808020e+002  5.346860e+000
 7.800400e-001  2.679150e+002  5.283740e+000
 7.826710e-001  2.641710e+002  5.331010e+000
 7.853020e-001  2.659570e+002  5.411250e+000
 7.879330e-001  2.667910e+002  5.424970e+000
 7.905640e-001  2.662170e+002  5.493340e+000
 7.931950e-001  2.499360e+002  5.292210e+000
 7.958260e-001  2.632900e+002  5.399810e+000
 7.984570e-001  2.680090e+002  5.472940e+000
 8.010890e-001  2.589710e+002  5.374890e+000
 8.037200e-001  2.537390e+002  5.376110e+000
 8.063510e-001  2.519870e+002  5.181650e+000
 8.089820e-001  2.551400e+002  5.229920e+000
 8.116130e-001  2.615550e+002  5.175930e+000
 8.142440e-001  2.533810e+002  5.066720e+000
 8.168750e-001  2.488960e+002  5.073130e+000
 8.195060e-001  2.507730e+002  4.967510e+000
 8.221370e-001  2.494580e+002  5.027590e+000
 8.247690e-001  2.497890e+002  4.997210e+000
 8.274000e-001  2.440470e+002  4.928020e+000
 8.300310e-001  2.445140e+002  4.963120e+000
 8.326620e-001  2.437420e+002  4.937040e+000
 8.352930e-001  2.404060e+002  4.914890e+000
 8.379240e-001  2.403910e+002  4.836030e+000
