#SASDB SASDEM2
#Sample description: Merged from concentrations 2.00 and 7.50 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.Yl2596 C:/Users/vives/AppDa
 9.921230e-001  4.728960e+001  3.163620e+000
 9.947580e-001  4.576340e+001  3.114940e+000
 9.973930e-001  4.584750e+001  3.119720e+000
 1.000030e+000  4.910100e+001  3.125530e+000
 1.002660e+000  5.019510e+001  3.119800e+000
 1.005300e+000  4.541170e+001  3.078020e+000
 1.007930e+000  4.466060e+001  3.044080e+000
 1.010570e+000  4.818960e+001  3.135140e+000
 1.013200e+000  4.911230e+001  3.094660e+000
 1.015840e+000  4.839020e+001  3.055500e+000
 1.018470e+000  4.943580e+001  3.061670e+000
 1.021100e+000  4.695400e+001  3.007950e+000
 1.023740e+000  4.801320e+001  3.024640e+000
 1.026370e+000  4.765520e+001  3.002240e+000
 1.029010e+000  4.296290e+001  3.023180e+000
 1.031640e+000  4.532830e+001  2.972990e+000
 1.034280e+000  4.374370e+001  2.979150e+000
 1.036910e+000  4.604190e+001  3.005170e+000
 1.039550e+000  4.469370e+001  2.944170e+000
 1.042180e+000  4.136550e+001  2.925020e+000
 1.044820e+000  4.013200e+001  2.930900e+000
 1.047450e+000  4.236410e+001  2.965090e+000
 1.050090e+000  4.491700e+001  2.962220e+000
 1.052720e+000  3.940160e+001  2.917000e+000
 1.055360e+000  4.369550e+001  2.926620e+000
 1.057990e+000  4.350440e+001  2.938430e+000
 1.060620e+000  4.292570e+001  2.904260e+000
 1.063260e+000  4.396560e+001  2.917640e+000
 1.065890e+000  4.018260e+001  2.860130e+000
 1.068530e+000  4.345280e+001  2.872620e+000
 1.071160e+000  4.165510e+001  2.870880e+000
 1.073800e+000  4.357370e+001  2.895040e+000
 1.076430e+000  4.364780e+001  2.897360e+000
 1.079070e+000  4.213650e+001  2.857480e+000
 1.081700e+000  4.625080e+001  2.887960e+000
 1.084340e+000  4.375890e+001  2.863170e+000
 1.086970e+000  3.972370e+001  2.849370e+000
 1.089610e+000  3.951460e+001  2.835130e+000
 1.092240e+000  4.040880e+001  2.830800e+000
 1.094870e+000  4.224690e+001  2.828360e+000
 1.097510e+000  3.638630e+001  2.805890e+000
 1.100140e+000  4.237170e+001  2.845660e+000
